"id","link","title","published_at","thumbnail_medium","thumbnail_default","thumbnail_high"
"aVmjDQ8SVo4","https://www.youtube.com/watch?v=aVmjDQ8SVo4","Entenda o que ? MANG? E ANIME shounen, shoujo, seinen... Spoiler: N?O ? g?nero, nem demografia","2023-10-19T22:30:09Z","https://i.ytimg.com/vi/aVmjDQ8SVo4/mqdefault.jpg","https://i.ytimg.com/vi/aVmjDQ8SVo4/default.jpg","https://i.ytimg.com/vi/aVmjDQ8SVo4/hqdefault.jpg"
"EoPP_k_hksE","https://www.youtube.com/watch?v=EoPP_k_hksE","QUAL ? A SUA DESCULPA? #motiva??o #supera??o #goku #flautadoce #quadrinhos #acrediteemvoc? #s?vai","2023-10-18T20:38:09Z","https://i.ytimg.com/vi/EoPP_k_hksE/mqdefault.jpg","https://i.ytimg.com/vi/EoPP_k_hksE/default.jpg","https://i.ytimg.com/vi/EoPP_k_hksE/hqdefault.jpg"
"a_szO32Qtec","https://www.youtube.com/watch?v=a_szO32Qtec","O DINHEIRO ? SEU DEUS? A ideologia neoliberal e a cr?tica de ELES VIVEM","2023-10-17T21:00:09Z","https://i.ytimg.com/vi/a_szO32Qtec/mqdefault.jpg","https://i.ytimg.com/vi/a_szO32Qtec/default.jpg","https://i.ytimg.com/vi/a_szO32Qtec/hqdefault.jpg"
"GcAepn6oHIg","https://www.youtube.com/watch?v=GcAepn6oHIg","4 quadrinhos socbre o conflito ISRAEL x PALESTINA #israel #palestina #explicado #guerra #conflito","2023-10-16T21:08:16Z","https://i.ytimg.com/vi/GcAepn6oHIg/mqdefault.jpg","https://i.ytimg.com/vi/GcAepn6oHIg/default.jpg","https://i.ytimg.com/vi/GcAepn6oHIg/hqdefault.jpg"
"rSWwLQcYU28","https://www.youtube.com/watch?v=rSWwLQcYU28","? LIVE DO CAOS: Oriente M?dio n?o ? BBB, saindo do arm?rio sem sair, pedindo bis e a coragem da paz","2023-10-16T03:00:01Z","https://i.ytimg.com/vi/rSWwLQcYU28/mqdefault.jpg","https://i.ytimg.com/vi/rSWwLQcYU28/default.jpg","https://i.ytimg.com/vi/rSWwLQcYU28/hqdefault.jpg"
"Fd_qokY2CWA","https://www.youtube.com/watch?v=Fd_qokY2CWA","? AO VIVO: Resenhas da Sarjeta!","2023-10-15T03:13:48Z","https://i.ytimg.com/vi/Fd_qokY2CWA/mqdefault.jpg","https://i.ytimg.com/vi/Fd_qokY2CWA/default.jpg","https://i.ytimg.com/vi/Fd_qokY2CWA/hqdefault.jpg"
"3tGXid3_IOQ","https://www.youtube.com/watch?v=3tGXid3_IOQ","POR QUE AINDA EXISTEM GUERRAS? A explica??o (meio zoada) de Star Trek","2023-10-14T23:00:11Z","https://i.ytimg.com/vi/3tGXid3_IOQ/mqdefault.jpg","https://i.ytimg.com/vi/3tGXid3_IOQ/default.jpg","https://i.ytimg.com/vi/3tGXid3_IOQ/hqdefault.jpg"
"GJUAcTdWHH8","https://www.youtube.com/watch?v=GJUAcTdWHH8","NINGU?M VAI TE SALVAR ? clich?? #ningu?mvaitesalvar #starplus #scifi  #invas?oalien?gena #cliche","2023-10-13T21:03:01Z","https://i.ytimg.com/vi/GJUAcTdWHH8/mqdefault.jpg","https://i.ytimg.com/vi/GJUAcTdWHH8/default.jpg","https://i.ytimg.com/vi/GJUAcTdWHH8/hqdefault.jpg"
"Pb8UjejvjsM","https://www.youtube.com/watch?v=Pb8UjejvjsM","O ANIME que DEBOCHA de seu p?blico (e alguns n?o perceberam): ONE PUNCH MAN","2023-10-12T21:00:12Z","https://i.ytimg.com/vi/Pb8UjejvjsM/mqdefault.jpg","https://i.ytimg.com/vi/Pb8UjejvjsM/default.jpg","https://i.ytimg.com/vi/Pb8UjejvjsM/hqdefault.jpg"
"CPjoI8KNask","https://www.youtube.com/watch?v=CPjoI8KNask","A grotesca ilha panorama de Suehiro Maruo! #mang? #eroguro #suehiromaruo #anime #sonhos #acredite","2023-10-11T20:28:32Z","https://i.ytimg.com/vi/CPjoI8KNask/mqdefault.jpg","https://i.ytimg.com/vi/CPjoI8KNask/default.jpg","https://i.ytimg.com/vi/CPjoI8KNask/hqdefault.jpg"
"8jgx54unq60","https://www.youtube.com/watch?v=8jgx54unq60","O MAIOR E MELHOR SUPER-HER?I DE DIREITA!!! Do Homem-Aranha ao Quest?o at? Rorschach","2023-10-10T21:00:08Z","https://i.ytimg.com/vi/8jgx54unq60/mqdefault.jpg","https://i.ytimg.com/vi/8jgx54unq60/default.jpg","https://i.ytimg.com/vi/8jgx54unq60/hqdefault.jpg"
"mpmsUdHL4DQ","https://www.youtube.com/watch?v=mpmsUdHL4DQ","Eles mexeram com o CARA ERRADO? #strawdogs #filme #cinema #ci?mes #inveja #luta #filmesantigos","2023-10-09T20:58:41Z","https://i.ytimg.com/vi/mpmsUdHL4DQ/mqdefault.jpg","https://i.ytimg.com/vi/mpmsUdHL4DQ/default.jpg","https://i.ytimg.com/vi/mpmsUdHL4DQ/hqdefault.jpg"
"1K-h2e9Q7fQ","https://www.youtube.com/watch?v=1K-h2e9Q7fQ","? LIVE DO CAOS: a irresponsabilidade dos influencers, futuro das redes, Israel x Palestina e sorteio","2023-10-09T02:56:54Z","https://i.ytimg.com/vi/1K-h2e9Q7fQ/mqdefault.jpg","https://i.ytimg.com/vi/1K-h2e9Q7fQ/default.jpg","https://i.ytimg.com/vi/1K-h2e9Q7fQ/hqdefault.jpg"
"-oEaLCOwukg","https://www.youtube.com/watch?v=-oEaLCOwukg","A hist?ria de AMOR (e maldi??o) entre um DEM?NIO e uma MENINA ABANDONADA?","2023-10-07T21:00:08Z","https://i.ytimg.com/vi/-oEaLCOwukg/mqdefault.jpg","https://i.ytimg.com/vi/-oEaLCOwukg/default.jpg","https://i.ytimg.com/vi/-oEaLCOwukg/hqdefault.jpg"
"7bGk3zDlZBI","https://www.youtube.com/watch?v=7bGk3zDlZBI","Voc? conhece o bairro LIBERDADE? #liberdade #saopaulo #escravid?o #historia #jap?o #imigra??o","2023-10-06T20:16:29Z","https://i.ytimg.com/vi/7bGk3zDlZBI/mqdefault.jpg","https://i.ytimg.com/vi/7bGk3zDlZBI/default.jpg","https://i.ytimg.com/vi/7bGk3zDlZBI/hqdefault.jpg"
"xQJ0mj4EaOI","https://www.youtube.com/watch?v=xQJ0mj4EaOI","Como os games INFLUENCIAM o cinema e a nossa vis?o de mundo? O caso de CORRA LOLA, CORRA!","2023-10-05T21:30:10Z","https://i.ytimg.com/vi/xQJ0mj4EaOI/mqdefault.jpg","https://i.ytimg.com/vi/xQJ0mj4EaOI/default.jpg","https://i.ytimg.com/vi/xQJ0mj4EaOI/hqdefault.jpg"
"LrLJzCCdZYA","https://www.youtube.com/watch?v=LrLJzCCdZYA","NINGU?M CONHECE SEUS AMIGOS DE VERDADE! #amizade #guerra #argelia #fran?a","2023-10-04T22:46:04Z","https://i.ytimg.com/vi/LrLJzCCdZYA/mqdefault.jpg","https://i.ytimg.com/vi/LrLJzCCdZYA/default.jpg","https://i.ytimg.com/vi/LrLJzCCdZYA/hqdefault.jpg"
"0GJOQqheZ8I","https://www.youtube.com/watch?v=0GJOQqheZ8I","? LIVE DO CAOS: exposed do PH Santos, paix?o por g?ticas, encontro do MBL e super-her?is fascistas","2023-10-02T03:19:39Z","https://i.ytimg.com/vi/0GJOQqheZ8I/mqdefault.jpg","https://i.ytimg.com/vi/0GJOQqheZ8I/default.jpg","https://i.ytimg.com/vi/0GJOQqheZ8I/hqdefault.jpg"
"3Kz6N5b1zyc","https://www.youtube.com/watch?v=3Kz6N5b1zyc","CIDADE DAS SOMBRAS: O MELHOR FILME QUE NINGU?M VIU #cidadedassombras #darkcity #matrix #scifi","2023-09-28T22:53:34Z","https://i.ytimg.com/vi/3Kz6N5b1zyc/mqdefault.jpg","https://i.ytimg.com/vi/3Kz6N5b1zyc/default.jpg","https://i.ytimg.com/vi/3Kz6N5b1zyc/hqdefault.jpg"
"P4LnhJXW8Q8","https://www.youtube.com/watch?v=P4LnhJXW8Q8","INUYASHA ? sobre preconceito! #inuyasha #kagome #anime #manga #preconceito","2023-09-27T22:19:13Z","https://i.ytimg.com/vi/P4LnhJXW8Q8/mqdefault.jpg","https://i.ytimg.com/vi/P4LnhJXW8Q8/default.jpg","https://i.ytimg.com/vi/P4LnhJXW8Q8/hqdefault.jpg"
"qAs0dfnIh1Y","https://www.youtube.com/watch?v=qAs0dfnIh1Y","A onda TRUE CRIME, o prazer feminino e o caso Julia Kendall","2023-09-26T21:00:10Z","https://i.ytimg.com/vi/qAs0dfnIh1Y/mqdefault.jpg","https://i.ytimg.com/vi/qAs0dfnIh1Y/default.jpg","https://i.ytimg.com/vi/qAs0dfnIh1Y/hqdefault.jpg"
"9TcsoZr7DtE","https://www.youtube.com/watch?v=9TcsoZr7DtE","? LIVE DO CAOS: cultura woke, Game of Thrones contra chatGPT, racismo na net e vaquinha louca","2023-09-26T03:12:06Z","https://i.ytimg.com/vi/9TcsoZr7DtE/mqdefault.jpg","https://i.ytimg.com/vi/9TcsoZr7DtE/default.jpg","https://i.ytimg.com/vi/9TcsoZr7DtE/hqdefault.jpg"
"3G9CmY9TFhk","https://www.youtube.com/watch?v=3G9CmY9TFhk","A vers?o mais assustadora de CHAPEUZINHO VERMELHO #chapeuzinhovermelho #lobomau #contos","2023-09-25T20:18:43Z","https://i.ytimg.com/vi/3G9CmY9TFhk/mqdefault.jpg","https://i.ytimg.com/vi/3G9CmY9TFhk/default.jpg","https://i.ytimg.com/vi/3G9CmY9TFhk/hqdefault.jpg"
"r7bLyewtVXo","https://www.youtube.com/watch?v=r7bLyewtVXo","N4ZI-VIKINGS E O OCULTISMO N4ZISTA QUE (quase) MUDOU A GUERRA","2023-09-23T21:00:10Z","https://i.ytimg.com/vi/r7bLyewtVXo/mqdefault.jpg","https://i.ytimg.com/vi/r7bLyewtVXo/default.jpg","https://i.ytimg.com/vi/r7bLyewtVXo/hqdefault.jpg"
"Jjx34atfFTw","https://www.youtube.com/watch?v=Jjx34atfFTw","BATMAN ? LOUCO? Vai ter filme do Batman de Zur-En-Arrh? #batman #batmanfilme #batmanarkham","2023-09-22T22:06:28Z","https://i.ytimg.com/vi/Jjx34atfFTw/mqdefault.jpg","https://i.ytimg.com/vi/Jjx34atfFTw/default.jpg","https://i.ytimg.com/vi/Jjx34atfFTw/hqdefault.jpg"
"Nls-dFTgzQ4","https://www.youtube.com/watch?v=Nls-dFTgzQ4","A OBJETIFIC4??O DA MULHER (feia?)... um problema ?tico e er0tico","2023-09-21T21:30:08Z","https://i.ytimg.com/vi/Nls-dFTgzQ4/mqdefault.jpg","https://i.ytimg.com/vi/Nls-dFTgzQ4/default.jpg","https://i.ytimg.com/vi/Nls-dFTgzQ4/hqdefault.jpg"
"29sAVKzfEgM","https://www.youtube.com/watch?v=29sAVKzfEgM","EXTERMINADOR DO FUTURO ? sobre a segunda vinda de Cristo! #terminator #exterminadordofuturo #cristo","2023-09-20T21:48:38Z","https://i.ytimg.com/vi/29sAVKzfEgM/mqdefault.jpg","https://i.ytimg.com/vi/29sAVKzfEgM/default.jpg","https://i.ytimg.com/vi/29sAVKzfEgM/hqdefault.jpg"
"3dk1OZg98ME","https://www.youtube.com/watch?v=3dk1OZg98ME","A VERDADE SOBRE OS ALIEN?GENAS DE SINAIS! Quando a met?fora d? errado?","2023-09-19T21:00:09Z","https://i.ytimg.com/vi/3dk1OZg98ME/mqdefault.jpg","https://i.ytimg.com/vi/3dk1OZg98ME/default.jpg","https://i.ytimg.com/vi/3dk1OZg98ME/hqdefault.jpg"
"-PZ52HDOjT0","https://www.youtube.com/watch?v=-PZ52HDOjT0","Live de NPC d? t3s?o? #npc #live #desejo #redessociais #trend","2023-09-18T21:58:51Z","https://i.ytimg.com/vi/-PZ52HDOjT0/mqdefault.jpg","https://i.ytimg.com/vi/-PZ52HDOjT0/default.jpg","https://i.ytimg.com/vi/-PZ52HDOjT0/hqdefault.jpg"
"Tm9Xu6BeSCs","https://www.youtube.com/watch?v=Tm9Xu6BeSCs","? LIVE DO CAOS: live de NPC, ataque a professores, transfobia, fascismo e gamer loko na lacra??o","2023-09-18T02:50:07Z","https://i.ytimg.com/vi/Tm9Xu6BeSCs/mqdefault.jpg","https://i.ytimg.com/vi/Tm9Xu6BeSCs/default.jpg","https://i.ytimg.com/vi/Tm9Xu6BeSCs/hqdefault.jpg"
"DgSMlCmdeiY","https://www.youtube.com/watch?v=DgSMlCmdeiY","O PASSADO N4ZI RETORNA... Pessoas com Defici?ncia e o ""campo de concentra??o do bem""","2023-09-16T21:00:12Z","https://i.ytimg.com/vi/DgSMlCmdeiY/mqdefault.jpg","https://i.ytimg.com/vi/DgSMlCmdeiY/default.jpg","https://i.ytimg.com/vi/DgSMlCmdeiY/hqdefault.jpg"
"eeUTdL20a5w","https://www.youtube.com/watch?v=eeUTdL20a5w","? MELHOR MORRER DO QUE TER QUE TRABALHAR! #zom100bucketliatofthedead #anime #apocalipsezumbi #zom100","2023-09-15T22:10:43Z","https://i.ytimg.com/vi/eeUTdL20a5w/mqdefault.jpg","https://i.ytimg.com/vi/eeUTdL20a5w/default.jpg","https://i.ytimg.com/vi/eeUTdL20a5w/hqdefault.jpg"
"mg_Pxp5w0uM","https://www.youtube.com/watch?v=mg_Pxp5w0uM","Pertencer a uma minoria N?O garante que voc? seja legal","2023-09-14T22:30:10Z","https://i.ytimg.com/vi/mg_Pxp5w0uM/mqdefault.jpg","https://i.ytimg.com/vi/mg_Pxp5w0uM/default.jpg","https://i.ytimg.com/vi/mg_Pxp5w0uM/hqdefault.jpg"
"4qACxgMER-8","https://www.youtube.com/watch?v=4qACxgMER-8","O que ? SPACE WESTERN? #western #velhooeste #fic??ocient?fica #espa?o #cowboybebop #cowboy","2023-09-13T22:49:11Z","https://i.ytimg.com/vi/4qACxgMER-8/mqdefault.jpg","https://i.ytimg.com/vi/4qACxgMER-8/default.jpg","https://i.ytimg.com/vi/4qACxgMER-8/hqdefault.jpg"
"E_1lqPPOOio","https://www.youtube.com/watch?v=E_1lqPPOOio","O PASSADO (e futuro) DOS EUA ? GUERRA E RACISMO? A vers?o censurada da Terra Maldita de Juiz Dredd","2023-09-12T21:30:10Z","https://i.ytimg.com/vi/E_1lqPPOOio/mqdefault.jpg","https://i.ytimg.com/vi/E_1lqPPOOio/default.jpg","https://i.ytimg.com/vi/E_1lqPPOOio/hqdefault.jpg"
"Le0edruiwPo","https://www.youtube.com/watch?v=Le0edruiwPo","O JUSTICEIRO ? brasileiro! #marvel #marvelstudios #mcu #justiceiro #punitivismo #brasileiro","2023-09-11T22:27:14Z","https://i.ytimg.com/vi/Le0edruiwPo/mqdefault.jpg","https://i.ytimg.com/vi/Le0edruiwPo/default.jpg","https://i.ytimg.com/vi/Le0edruiwPo/hqdefault.jpg"
"5stQzElSrZM","https://www.youtube.com/watch?v=5stQzElSrZM","? LIVE DO CAOS: anti-intelectualismo, vida triste de blogueirinha, marketing transado e jacuzzi","2023-09-11T02:59:47Z","https://i.ytimg.com/vi/5stQzElSrZM/mqdefault.jpg","https://i.ytimg.com/vi/5stQzElSrZM/default.jpg","https://i.ytimg.com/vi/5stQzElSrZM/hqdefault.jpg"
"8YTOCjH-lR0","https://www.youtube.com/watch?v=8YTOCjH-lR0","Por que os brasileiros est?o VICIADOS em Cultura Pop japonesa? O enigma de MEU AMIGO TOTORO","2023-09-09T21:00:08Z","https://i.ytimg.com/vi/8YTOCjH-lR0/mqdefault.jpg","https://i.ytimg.com/vi/8YTOCjH-lR0/default.jpg","https://i.ytimg.com/vi/8YTOCjH-lR0/hqdefault.jpg"
"S95_v0CdbQU","https://www.youtube.com/watch?v=S95_v0CdbQU","Voc? se sente CULPADO? #culpa #passado #mem?ria #guerra #fantasmas #russia #arrependimento","2023-09-08T21:30:36Z","https://i.ytimg.com/vi/S95_v0CdbQU/mqdefault.jpg","https://i.ytimg.com/vi/S95_v0CdbQU/default.jpg","https://i.ytimg.com/vi/S95_v0CdbQU/hqdefault.jpg"
"p-sMBtMtMkg","https://www.youtube.com/watch?v=p-sMBtMtMkg","THOR: AMOR E TROV?O merece uma segunda chance ...e cr?ticas melhores!","2023-09-07T23:00:10Z","https://i.ytimg.com/vi/p-sMBtMtMkg/mqdefault.jpg","https://i.ytimg.com/vi/p-sMBtMtMkg/default.jpg","https://i.ytimg.com/vi/p-sMBtMtMkg/hqdefault.jpg"
"trm3nTdWdH4","https://www.youtube.com/watch?v=trm3nTdWdH4","GODZILLA ? uma met?fora do trauma nuclear? #trauma #godzilla #bombaatomica #guerranuclear","2023-09-06T20:18:48Z","https://i.ytimg.com/vi/trm3nTdWdH4/mqdefault.jpg","https://i.ytimg.com/vi/trm3nTdWdH4/default.jpg","https://i.ytimg.com/vi/trm3nTdWdH4/hqdefault.jpg"
"BSnHdL7eDZ8","https://www.youtube.com/watch?v=BSnHdL7eDZ8","O CINEMA BRASILEIRO PROIBID?O e a vers?o adulta da Branca de Neve e os Sete An?es","2023-09-05T21:00:08Z","https://i.ytimg.com/vi/BSnHdL7eDZ8/mqdefault.jpg","https://i.ytimg.com/vi/BSnHdL7eDZ8/default.jpg","https://i.ytimg.com/vi/BSnHdL7eDZ8/hqdefault.jpg"
"NdQ-uS24x-k","https://www.youtube.com/watch?v=NdQ-uS24x-k","O QUE EST? ACONTECENDO COM A SOCIEDADE??? #filosofia #sociologia #deleuze #curiosidades","2023-09-04T22:46:50Z","https://i.ytimg.com/vi/NdQ-uS24x-k/mqdefault.jpg","https://i.ytimg.com/vi/NdQ-uS24x-k/default.jpg","https://i.ytimg.com/vi/NdQ-uS24x-k/hqdefault.jpg"
"DmrHQd68a7Y","https://www.youtube.com/watch?v=DmrHQd68a7Y","? LIVE DO CAOS: ainda sobre covardia, a ideologia cai como um meteoro (n?o leve a s?rio risosrisos)","2023-09-04T03:17:57Z","https://i.ytimg.com/vi/DmrHQd68a7Y/mqdefault.jpg","https://i.ytimg.com/vi/DmrHQd68a7Y/default.jpg","https://i.ytimg.com/vi/DmrHQd68a7Y/hqdefault.jpg"
"WEqwdXykrcU","https://www.youtube.com/watch?v=WEqwdXykrcU","? AO VIVO: Resenhas da Sarjeta!","2023-09-03T01:56:19Z","https://i.ytimg.com/vi/WEqwdXykrcU/mqdefault.jpg","https://i.ytimg.com/vi/WEqwdXykrcU/default.jpg","https://i.ytimg.com/vi/WEqwdXykrcU/hqdefault.jpg"
"9EV0JS8Na5M","https://www.youtube.com/watch?v=9EV0JS8Na5M","DEATH NOTE ? UM RETRATO (meio chato) DA COVARDIA DOS ANOS 2000","2023-09-02T21:00:07Z","https://i.ytimg.com/vi/9EV0JS8Na5M/mqdefault.jpg","https://i.ytimg.com/vi/9EV0JS8Na5M/default.jpg","https://i.ytimg.com/vi/9EV0JS8Na5M/hqdefault.jpg"
"jdfbxBWGbpM","https://www.youtube.com/watch?v=jdfbxBWGbpM","5 fatos que v?o DESTRUIR SUA INF?NCIA! #top5 #inf?ncia #fatos #mitos #5fatos","2023-09-01T23:44:34Z","https://i.ytimg.com/vi/jdfbxBWGbpM/mqdefault.jpg","https://i.ytimg.com/vi/jdfbxBWGbpM/default.jpg","https://i.ytimg.com/vi/jdfbxBWGbpM/hqdefault.jpg"
"48dhLzc3-CQ","https://www.youtube.com/watch?v=48dhLzc3-CQ","A AUTORA SOFREU @BUS0 E ESCREVEU UMA HIST?RIA DE AMOR: Minami-kun no Koibito","2023-08-31T22:00:10Z","https://i.ytimg.com/vi/48dhLzc3-CQ/mqdefault.jpg","https://i.ytimg.com/vi/48dhLzc3-CQ/default.jpg","https://i.ytimg.com/vi/48dhLzc3-CQ/hqdefault.jpg"
"ldg_TrdCeXQ","https://www.youtube.com/watch?v=ldg_TrdCeXQ","Sorteio de gibi no Quadrinhos na Sarjeta ? PROFISSIONAL! #sorteio #quadrinhos","2023-08-31T17:23:12Z","https://i.ytimg.com/vi/ldg_TrdCeXQ/mqdefault.jpg","https://i.ytimg.com/vi/ldg_TrdCeXQ/default.jpg","https://i.ytimg.com/vi/ldg_TrdCeXQ/hqdefault.jpg"
"E0jLjGGdfwY","https://www.youtube.com/watch?v=E0jLjGGdfwY","JOGO PRA MACHO PATRIOTA! E pra f?mea viril tamb?m! #broforce #anos80 #anos90 #game","2023-08-30T23:10:00Z","https://i.ytimg.com/vi/E0jLjGGdfwY/mqdefault.jpg","https://i.ytimg.com/vi/E0jLjGGdfwY/default.jpg","https://i.ytimg.com/vi/E0jLjGGdfwY/hqdefault.jpg"
"4bBdUzC06-o","https://www.youtube.com/watch?v=4bBdUzC06-o","O CULTO AO CARRO ? UM CULTO ? MORTE! Uma fic??o cient?fica realista?","2023-08-29T21:00:08Z","https://i.ytimg.com/vi/4bBdUzC06-o/mqdefault.jpg","https://i.ytimg.com/vi/4bBdUzC06-o/default.jpg","https://i.ytimg.com/vi/4bBdUzC06-o/hqdefault.jpg"
"wB1w5PfLPF8","https://www.youtube.com/watch?v=wB1w5PfLPF8","BERSERK ? um boys love do mal! #berserk #guts #griffith #kentaromiura #boyslove","2023-08-28T22:58:59Z","https://i.ytimg.com/vi/wB1w5PfLPF8/mqdefault.jpg","https://i.ytimg.com/vi/wB1w5PfLPF8/default.jpg","https://i.ytimg.com/vi/wB1w5PfLPF8/hqdefault.jpg"
"PQNx-h33e1o","https://www.youtube.com/watch?v=PQNx-h33e1o","? LIVE DO CAOS: pamonhas de SP, samurai de BH, Lula chateado, moralismo tosco e sorteio de gibi!","2023-08-28T02:49:19Z","https://i.ytimg.com/vi/PQNx-h33e1o/mqdefault.jpg","https://i.ytimg.com/vi/PQNx-h33e1o/default.jpg","https://i.ytimg.com/vi/PQNx-h33e1o/hqdefault.jpg"
"mXywsBMqIaQ","https://www.youtube.com/watch?v=mXywsBMqIaQ","HOMENS S?O HOMENS E MULHERES PRECISAM DE HUMOR? O realismo m?gico de PALOMAR","2023-08-26T21:00:10Z","https://i.ytimg.com/vi/mXywsBMqIaQ/mqdefault.jpg","https://i.ytimg.com/vi/mXywsBMqIaQ/default.jpg","https://i.ytimg.com/vi/mXywsBMqIaQ/hqdefault.jpg"
"8HGDwej508E","https://www.youtube.com/watch?v=8HGDwej508E","N?o v? na LOJA UGRA!!! #quadrinhos #loja #saopaulo  #review","2023-08-25T15:06:12Z","https://i.ytimg.com/vi/8HGDwej508E/mqdefault.jpg","https://i.ytimg.com/vi/8HGDwej508E/default.jpg","https://i.ytimg.com/vi/8HGDwej508E/hqdefault.jpg"
"ELMrjXOMziw","https://www.youtube.com/watch?v=ELMrjXOMziw","A CRISE da masculinidade e a impot?ncia em JOHN WICK: um papo honesto","2023-08-24T21:00:09Z","https://i.ytimg.com/vi/ELMrjXOMziw/mqdefault.jpg","https://i.ytimg.com/vi/ELMrjXOMziw/default.jpg","https://i.ytimg.com/vi/ELMrjXOMziw/hqdefault.jpg"
"SKxun8Thdg4","https://www.youtube.com/watch?v=SKxun8Thdg4","Esse filme ? um PESADELO DE VERDADE! #pesadelo #filme #surreal","2023-08-23T21:00:13Z","https://i.ytimg.com/vi/SKxun8Thdg4/mqdefault.jpg","https://i.ytimg.com/vi/SKxun8Thdg4/default.jpg","https://i.ytimg.com/vi/SKxun8Thdg4/hqdefault.jpg"
"p_sa5xzUxnQ","https://www.youtube.com/watch?v=p_sa5xzUxnQ","AT? DEUS EST? DESEMPREGADO! O fim da morte, Kali e o hindu?smo em Laila Starr","2023-08-22T21:00:07Z","https://i.ytimg.com/vi/p_sa5xzUxnQ/mqdefault.jpg","https://i.ytimg.com/vi/p_sa5xzUxnQ/default.jpg","https://i.ytimg.com/vi/p_sa5xzUxnQ/hqdefault.jpg"
